Place Name	Latitude	Longitude
Wisconsin, USA	44.500000	-89.500000
West Virginia, USA	39.000000	-80.500000
Vermont, USA	44.000000	-72.699997
Texas, the USA	31.000000	-100.000000
South Dakota, the US	44.500000	-100.000000
Rhode Island, the US	41.742325	-71.742332
Oregon, the US	44.000000	-120.500000
New York, USA	43.000000	-75.000000
New Hampshire, USA	44.000000	-71.500000
Nebraska, USA	41.500000	-100.000000
Kansas, the US	38.500000	-98.000000
Mississippi, USA	33.000000	-90.000000
Illinois, USA	40.000000	-89.000000
Delaware, the US	39.000000	-75.500000
Connecticut, USA	41.599998	-72.699997
Arkansas, the US	34.799999	-92.199997
Indiana, USA	40.273502	-86.126976
Missouri, USA	38.573936	-92.603760
Florida, USA	27.994402	-81.760254
Nevada, USA	39.876019	-117.224121
Maine, the USA	45.367584	-68.972168
Michigan, USA	44.182205	-84.506836
Georgia, the USA	33.247875	-83.441162
Hawaii, USA	19.741755	-155.844437
Alaska, USA	66.160507	-153.369141
Tennessee, USA	35.860119	-86.660156
Virginia, USA	37.926868	-78.024902
New Jersey, USA	39.833851	-74.871826
Kentucky, USA	37.839333	-84.270020
North Dakota, USA	47.650589	-100.437012
Minnesota, USA	46.392410	-94.636230
Oklahoma, the USA	36.084621	-96.921387
Montana, USA	46.965260	-109.533691
Washington, the USA	47.751076	-120.740135
Utah, USA	39.419220	-111.950684
Colorado, USA	39.113014	-105.358887
Ohio, USA	40.367474	-82.996216
Alabama, USA	32.318230	-86.902298
Iowa, the USA	42.032974	-93.581543
New Mexico, USA	34.307144	-106.018066
South Carolina, USA	33.836082	-81.163727
Pennsylvania, USA	41.203323	-77.194527
Arizona, USA	34.048927	-111.093735
Maryland, USA	39.045753	-76.641273
Massachusetts, USA	42.407211	-71.382439
California, USA	36.778259	-119.417931
Idaho, USA	44.068203	-114.742043
Wyoming, USA	43.075970	-107.290283
North Carolina, USA	35.782169	-80.793457
Louisiana, USA	30.391830	-92.329102
